ORDER_ID,customer.id,order_placement_date
  FMR34103403  ,789103.0,"Tuesday, March 1, 2022"
FMR32121301,ID_789121.0,"Tuesday, March 1, 2022#@$"
FMR33402303#@$,789402.0,03/01/2022
FMR34221301,789221.0,03/01/2022
FMR34202301,789202.0,"Tuesday, March 1, 2022"
  NULL  ,789522.0,03/01/2022
FMR34522403,789522.0,"TUESDAY, MARCH 1, 2022"
ID_FMR33301301,ID_789301.0,"Tuesday, March 1, 2022"
FMR34303602,789303.0,"Tuesday, March 1, 2022"
FMR33220603,789220.0,"Tuesday, March 1, 2022"
FMR32422301,-1.0,"Tuesday, March 1, 2022"
NULL,789422.0,03/01/2022
FMR34401102,789401.0,"Tuesday, March 1, 2022"
FMR32121102,789121.0,"Tuesday, March 1, 2022"
FMR34902102#@$,,"Tuesday, March 1, 2022"
FMR32503401,789503.0,"Tuesday, March 1, 2022#@$"
FMR33720202,789720.0,NULL
FMR34321602,ID_789321.0,"Tuesday, March 1, 2022"
ID_FMR32103503,789103.0,N/A#@$
FMR32421102,789421.0,"Tuesday, March 1, 2022#@$"
  FMR34320102  ,,"Tuesday, March 1, 2022"
  N/A  ,789420.0,"Tuesday, March 1, 2022"
fmr32702601,789702.0,NULL
NULL,ID_789201.0 units,"Tuesday, March 1, 2022#@$"
  FMR32102102  ,ID_789102.0,"tuesday, march 1, 2022"
Fmr34122102#@$,789122.0,"  Tuesday, March 1, 2022  "
Id_Fmr33621102,789621.0,"Tuesday, March 1, 2022"
FMR32622502#@$,ID_789622.0,"TUESDAY, MARCH 1, 2022"
FMR33622502,789622.0,"Tuesday, March 1, 2022"
FMR32201502,789201.0,"Tuesday, March 1, 2022"
FMR33202502,789202.0,"TUESDAY, MARCH 1, 2022"
fmr33520502,789520.0 units,"Tuesday, March 1, 2022"
FMR34520503,789520.0 units,"  tuesday, march 1, 2022  "
FMR33503502,789503.0,"Tuesday, March 1, 2022"
FMR34503502,ID_789503.0 units,
FMR34401503,ID_789401.0 units,"Tuesday, March 1, 2022"
  FMR34702502  ,789702.0,"Tuesday, March 1, 2022"
FMR33521502,,"  Tuesday, March 1, 2022  "
FMR34422403,ID_789422.0,"Tuesday, March 1, 2022"
FMR33101403,789101.0,"  Tuesday, March 1, 2022  "
FMR32202603,789202.0,"Tuesday, March 1, 2022"
FMR32121403,789121.0,N/A
FMR32220503,789220.0,"Tuesday, March 1, 2022"
Fmr32622503,789622.0,"Tuesday, March 1, 2022#@$"
  FMR34622602  ,789622.0,"Tuesday, March 1, 2022"
FMR33720503,789720.0,"Tuesday, March 1, 2022"
FMR32221603#@$,789221.0,"Tuesday, March 1, 2022"
FMR33221503,,"Tuesday, March 1, 2022#@$"
FMR34721503,789721.0,"Tuesday, March 1, 2022"
FMR33320503,ID_789320.0,"  Tuesday, March 1, 2022  "
FMR32101601,789101.0,"Tuesday, March 1, 2022"
FMR32422503,789422.0 Units,"Tuesday, March 1, 2022"
FMR34702602,ID_789702.0,
FMR32601103,789601.0,03/01/2022
FMR34601402,789601.0,"Tuesday, March 1, 2022"
FMR33303501,789303.0,"Tuesday, March 1, 2022"
  FMR32621103  ,789621.0,03/01/2022
FMR34621103,,"Tuesday, March 1, 2022"
FMR33501401,789501.0,"Tuesday, March 1, 2022"
FMR34402202,789402.0,"Tuesday, March 1, 2022"
FMR33522103,-1.0,"Tuesday, March 1, 2022"
FMR34122103,789122.0,"Tuesday, March 1, 2022"
ID_  FMR32401103  ,789401.0,03/01/2022
FMR34301103,ID_789301.0,"Tuesday, March 1, 2022"
FMR34902103,789902.0,03/01/2022
FMR34721103#@$,789721.0,"Tuesday, March 1, 2022"
  Fmr32321103  ,789321.0,"  Tuesday, March 1, 2022  "
FMR33321602#@$,789321.0 units,"Tuesday, March 1, 2022"
FMR32422401#@$,789422.0,"Tuesday, March 1, 2022"
FMR34522601,id_789522.0,"  Tuesday, March 1, 2022  "
NULL,ID_789902.0 units,NULL#@$
FMR33103602,789103.0,"tuesday, march 1, 2022"
ID_  FMR33201602  ,789201.0,"Tuesday, March 1, 2022"
FMR34122601,789122.0 units,"Tuesday, March 1, 2022"
N/A,789321.0,"Tuesday, March 1, 2022"
FMR33903601,789903.0,"Tuesday, March 1, 2022"
FMR34621601,789621.0,N/A
  FMR32421601  ,789421.0,"Tuesday, March 1, 2022"
FMR34421601,789421.0,03/01/2022
FMR33102601,789102.0,
FMR32603203,789603.0,"Tuesday, March 1, 2022"
FMR34401402,789401.0,"Tuesday, March 1, 2022"
FMR34720402,789720.0,"Tuesday, March 1, 2022"
ID_FMR32520603,789520.0,"  Tuesday, March 1, 2022  "
  FMR32203402  ,789203.0,"TUESDAY, MARCH 1, 2022"
FMR33122402#@$,789122.0,03/01/2022
FMR34122402#@$,789122.0,"Tuesday, March 1, 2022"
fmr32221402,789221.0,
FMR33221402,789221.0,"Tuesday, March 1, 2022"
,789622.0,03/01/2022
FMR32202402,789202.0,"Tuesday, March 1, 2022"
FMR34301602,789301.0,"Tuesday, March 1, 2022"
FMR33521201,789521.0,"Tuesday, March 1, 2022"
FMR32321201,789321.0,"Tuesday, March 1, 2022"
FMR32501201,-1.0,"  Tuesday, March 1, 2022  "
Fmr34201201,789201.0,"Tuesday, March 1, 2022"
ID_FMR34101201,789101.0,"TUESDAY, MARCH 1, 2022"
ID_FMR34520602,789520.0,"Tuesday, March 1, 2022"
Id_Fmr33203603,789203.0,"Tuesday, March 1, 2022"
FMR34420501,789420.0,"Tuesday, March 1, 2022"
FMR33403501,ID_789403.0,"Tuesday, March 1, 2022"
FMR34121501,ID_-1.0,"Tuesday, March 1, 2022"
FMR32102602,nan units,03/01/2022
FMR32402602,789402.0,null
  FMR33720501  ,789720.0,"Tuesday, March 1, 2022"
fmr32301603,789301.0,"TUESDAY, MARCH 1, 2022"
FMR34703602,789703.0,"Tuesday, March 1, 2022"
FMR32103602,789103.0,03/01/2022
FMR34320602#@$,789320.0 units,"Tuesday, March 1, 2022#@$"
FMR32220602,789220.0,"Tuesday, March 1, 2022"
ID_  FMR32703401  ,789703.0,"Tuesday, March 1, 2022#@$"
FMR32203101,789203.0,"Tuesday, March 1, 2022"
FMR34122303,789122.0,"Tuesday, March 1, 2022"
ID_FMR33420101,ID_789420.0,"Tuesday, March 1, 2022"
  FMR34622101  ,,"Tuesday, March 1, 2022"
FMR34422101,789422.0,"Tuesday, March 1, 2022"
ID_FMR34603401,789603.0,"Tuesday, March 1, 2022"
FMR32122401,789122.0,"Tuesday, March 1, 2022"
FMR33103401,ID_789103.0,03/01/2022
FMR33603603,789603.0 units,"Tuesday, March 1, 2022#@$"
FMR33420603,789420.0,"Tuesday, March 1, 2022"
FMR32121603,ID_789121.0,"Tuesday, March 1, 2022"
FMR32421603,789421.0 units,"tuesday, march 1, 2022"
FMR32903603,789903.0,"Tuesday, March 1, 2022#@$"
FMR32303603,789303.0,"Tuesday, March 1, 2022"
ID_FMR32721603,789721.0,03/01/2022
  FMR32102202  ,789102.0,"Tuesday, March 1, 2022"
FMR34902202,-1.0,"Tuesday, March 1, 2022"
FMR32320202,789320.0,"Tuesday, March 1, 2022"
FMR33320202,789320.0,N/A#@$
FMR33101202,789101.0,"Tuesday, March 1, 2022"
  FMR33601202  ,789601.0,03/01/2022
ID_FMR32521202,789521.0,"  Tuesday, March 1, 2022  "
FMR33521202,ID_789521.0,"Tuesday, March 1, 2022"
FMR33522202,ID_789522.0,03/01/2022
FMR32522303,789522.0,"Tuesday, March 1, 2022#@$"
FMR32601303#@$,id_789601.0,"tuesday, march 1, 2022"
FMR33601303,ID_789601.0,"tuesday, march 1, 2022"
ID_  FMR33703303  ,789703.0,"Tuesday, March 1, 2022"
FMR34720303,789720.0,"Tuesday, March 1, 2022"
FMR34420303,789420.0,"Tuesday, March 1, 2022"
FMR32221303,789221.0,"Tuesday, March 1, 2022"
NULL,789121.0,"Tuesday, March 1, 2022"
FMR32402303,789402.0,"Tuesday, March 1, 2022"
FMR33203403,789203.0,03/02/2022
FMR34603203,789603.0,"Wednesday, March 2, 2022"
FMR33422203,789422.0,"Wednesday, March 2, 2022"
Fmr35422503,-1.0,"Wednesday, March 2, 2022"
FMR34101203,ID_789101.0,"Wednesday, March 2, 2022"
FMR35401203,789401.0,03/02/2022
FMR34320402,789320.0,03/02/2022
ID_FMR35320402#@$,789320.0,"Wednesday, March 2, 2022"
FMR34721601#@$,789721.0 units,"Wednesday, March 2, 2022"
FMR34202203,789202.0,"  Wednesday, March 2, 2022  "
FMR33503203,789503.0 UNITS,"Wednesday, March 2, 2022"
FMR35121203,789121.0,"wednesday, march 2, 2022"
FMR34221203,789221.0,"Wednesday, March 2, 2022"
ID_FMR35221203,,"Wednesday, March 2, 2022"
ID_FMR35321603,789321.0,  N/A  
FMR33501602,789501.0,"Wednesday, March 2, 2022"
N/A,789601.0,03/02/2022
ID_FMR35622603,ID_789622.0,"Wednesday, March 2, 2022"
FMR35902601#@$,,"Wednesday, March 2, 2022"
FMR35402501,789402.0,"WEDNESDAY, MARCH 2, 2022"
  FMR33702602  #@$,789702.0,"  Wednesday, March 2, 2022  "
FMR33520203,789520.0,"Wednesday, March 2, 2022"
FMR35603302,789603.0,"Wednesday, March 2, 2022"
FMR35621302,789621.0,"Wednesday, March 2, 2022"
FMR33321303,789321.0,"Wednesday, March 2, 2022#@$"
Fmr33420302,,"Wednesday, March 2, 2022"
FMR34420302,789420.0,"Wednesday, March 2, 2022"
  FMR34220501  ,789220.0,"wednesday, march 2, 2022"
FMR34122403,789122.0,"  Wednesday, March 2, 2022  "
FMR35122302,789122.0,"Wednesday, March 2, 2022"
Fmr35303601#@$,789303.0,"Wednesday, March 2, 2022"
FMR33720403,789720.0,"Wednesday, March 2, 2022"
FMR35720302,-1.0,"Wednesday, March 2, 2022"
FMR34703601,789703.0,03/02/2022
FMR34101302,789101.0,"  Wednesday, March 2, 2022  "
  FMR34522401  ,789522.0,"Wednesday, March 2, 2022"
FMR34121401,789121.0,"Wednesday, March 2, 2022"
ID_,789903.0,"Wednesday, March 2, 2022"
fmr35903601,Id_789903.0 Units,NULL
FMR34402603,789402.0,"wednesday, march 2, 2022"
FMR33422302,-1.0 units,"Wednesday, March 2, 2022"
FMR34721301,-1.0,"Wednesday, March 2, 2022"
FMR35703502,789703.0,03/02/2022
ID_FMR35102301,789102.0,"  Wednesday, March 2, 2022  "
  FMR33103301  ,789103.0,03/02/2022
FMR35321301,789321.0,"Wednesday, March 2, 2022"
FMR34503301,789503.0,
  N/A  ,789521.0,"Wednesday, March 2, 2022"
id_fmr34702601,ID_789702.0,NULL
FMR33401301,789401.0,03/02/2022
Id_N/A,789721.0,"Wednesday, March 2, 2022"
FMR34601501#@$,789601.0 units,"Wednesday, March 2, 2022"
,789221.0,03/02/2022
FMR33622402#@$,789622.0 units,"Wednesday, March 2, 2022"
FMR33503603,789503.0,03/02/2022
ID_FMR35420102#@$,789420.0,"Wednesday, March 2, 2022"
FMR35220102,789220.0,"Wednesday, March 2, 2022"
FMR33101501,,"Wednesday, March 2, 2022"
N/A,789102.0,"  Wednesday, March 2, 2022  "
FMR34621102,789621.0,"  Wednesday, March 2, 2022  #@$"
FMR35122502,789122.0,"Wednesday, March 2, 2022"
,789320.0,"  Wednesday, March 2, 2022  "
FMR34201502,789201.0,"wednesday, march 2, 2022"
FMR33301502,789301.0,"WEDNESDAY, MARCH 2, 2022"
FMR33203502,789203.0,"Wednesday, March 2, 2022"
Fmr34203602,789203.0 units,03/02/2022
FMR34202502,789202.0,"Wednesday, March 2, 2022"
fmr34121502,789121.0,"Wednesday, March 2, 2022"
FMR35520502#@$,789520.0,"Wednesday, March 2, 2022"
FMR33103603,789103.0,"Wednesday, March 2, 2022"
Fmr33603502,,03/02/2022
FMR35503502,789503.0,"Wednesday, March 2, 2022"
FMR35101502,789101.0,"Wednesday, March 2, 2022"
FMR35702603,789702.0,03/02/2022
FMR34321502,789321.0,"Wednesday, March 2, 2022#@$"
fmr35203601,789203.0,"Wednesday, March 2, 2022"
FMR33903503,789903.0,"  Wednesday, March 2, 2022  "
FMR34501403,789501.0,"  Wednesday, March 2, 2022  "
    ,789420.0,"  Wednesday, March 2, 2022  "
FMR33201403,789201.0 units,"Wednesday, March 2, 2022"
FMR34503602,789503.0,"Wednesday, March 2, 2022"
FMR33122503,789122.0,"Wednesday, March 2, 2022"
FMR34102403,789102.0,"WEDNESDAY, MARCH 2, 2022"
FMR33202403,789202.0 units,"Wednesday, March 2, 2022"
N/A,789303.0,"Wednesday, March 2, 2022"
FMR34521403,789521.0,NULL
FMR33121403,-1.0,"Wednesday, March 2, 2022"
FMR34702403,789702.0,"Wednesday, March 2, 2022"
FMR35301503,789301.0,"  wednesday, march 2, 2022  "
fmr33403601#@$,789403.0,"Wednesday, March 2, 2022"
ID_FMR33321503,ID_789321.0,"  Wednesday, March 2, 2022  "
ID_FMR33902503,789902.0 units,"  Wednesday, March 2, 2022  "
FMR34603601,789603.0,N/A
FMR35603601,-1.0,03/02/2022
Fmr34402503,ID_789402.0,"Wednesday, March 2, 2022#@$"
FMR35303503,789303.0,"Wednesday, March 2, 2022#@$"
FMR34422503,789422.0,"Wednesday, March 2, 2022"
FMR33403103,789403.0,03/02/2022
FMR34521103,id_789521.0,"  Wednesday, March 2, 2022  "
NULL,789521.0,"Wednesday, March 2, 2022"
FMR35522103,789522.0,"Wednesday, March 2, 2022"
FMR35122602,789122.0,03/02/2022
FMR35721103,789721.0,"Wednesday, March 2, 2022"
FMR35321303,789321.0,03/02/2022
FMR33422103,789422.0,03/02/2022
fmr35422501,789422.0,"Wednesday, March 2, 2022"
FMR34221601,ID_789221.0 units,"Wednesday, March 2, 2022"
FMR33703601,789703.0 units,N/A
FMR33601601,789601.0,03/02/2022
FMR35601601,789601.0,"wednesday, march 2, 2022"
ID_FMR33521601,ID_789521.0,"Wednesday, March 2, 2022"
FMR35103601#@$,789103.0,03/02/2022
fmr34201601,ID_789201.0,"Wednesday, March 2, 2022"
FMR35320601,789320.0,"  Wednesday, March 2, 2022  "
FMR34720601,789720.0,"Wednesday, March 2, 2022#@$"
FMR34102601,ID_789102.0,"Wednesday, March 2, 2022"
Fmr33420602,789420.0,"WEDNESDAY, MARCH 2, 2022"
N/A#@$,ID_nan,"  Wednesday, March 2, 2022  "
FMR33220402#@$,789220.0,"Wednesday, March 2, 2022"
FMR35420402,789420.0,"Wednesday, March 2, 2022"
FMR35603402,789603.0,"Wednesday, March 2, 2022#@$"
FMR33520402,789520.0,"Wednesday, March 2, 2022"
N/A,789403.0,"Wednesday, March 2, 2022"
ID_FMR33621402#@$,789621.0,"Wednesday, March 2, 2022"
FMR34421402,,"Wednesday, March 2, 2022"
FMR33102402,,"Wednesday, March 2, 2022"
  FMR34122202  ,789122.0 units,"Wednesday, March 2, 2022"
FMR35401201,789401.0,"Wednesday, March 2, 2022"
FMR35220201,789220.0,"Wednesday, March 2, 2022"
FMR35903201,789903.0 units,"wednesday, march 2, 2022"
FMR33520201,789520.0 UNITS,"wednesday, march 2, 2022"
FMR34520201,789520.0,03/02/2022
FMR34522603,789522.0,
FMR33521501,ID_789521.0,"Wednesday, March 2, 2022"
Id_Fmr34421603#@$,ID_789421.0,"Wednesday, March 2, 2022"
Fmr34301501,789301.0,"  Wednesday, March 2, 2022  #@$"
FMR33301602,789301.0,NULL
Fmr33402602,789402.0,"Wednesday, March 2, 2022#@$"
ID_N/A,789121.0,"Wednesday, March 2, 2022#@$"
FMR35522602,789522.0,"Wednesday, March 2, 2022"
FMR34902602,789902.0,"  Wednesday, March 2, 2022  "
,789421.0,03/02/2022
ID_FMR33220101,789220.0,"Wednesday, March 2, 2022"
FMR35201303,789201.0,"Wednesday, March 2, 2022"
FMR34522101,ID_789522.0,"Wednesday, March 2, 2022"
  FMR35303101  ,789303.0 units,03/02/2022
FMR34321101,789321.0,"  Wednesday, March 2, 2022  "
fmr35321101,789321.0,"Wednesday, March 2, 2022"
NULL,789121.0,"Wednesday, March 2, 2022"
FMR34301101,789301.0,"Wednesday, March 2, 2022#@$"
FMR35501401#@$,789501.0,"Wednesday, March 2, 2022"
FMR35102401,789102.0,"Wednesday, March 2, 2022"
FMR35301401,789301.0,"Wednesday, March 2, 2022"
FMR34521401,789521.0,"  Wednesday, March 2, 2022  "
FMR34401603,789401.0,"  Wednesday, March 2, 2022  "
FMR34121603,789121.0,"  Wednesday, March 2, 2022  "
FMR33522603,-1.0,"Wednesday, March 2, 2022"
FMR33521603,789521.0 units,03/02/2022
FMR34521603,789521.0,N/A#@$
ID_FMR35402603,789402.0,"WEDNESDAY, MARCH 2, 2022"
fmr35202603,789202.0,"Wednesday, March 2, 2022"
ID_FMR35702202,789702.0,03/02/2022
FMR35122202,789122.0,"Wednesday, March 2, 2022"
N/A,ID_789903.0,"Wednesday, March 2, 2022"
ID_FMR33301202,789301.0,  N/A  
  FMR34422202  #@$,789422.0,"Wednesday, March 2, 2022"
fmr35621202,789621.0,"Wednesday, March 2, 2022"
ID_FMR34202202,,NULL#@$
FMR35121202#@$,789121.0,"Wednesday, March 2, 2022#@$"
  FMR35422303  ,789422.0,
FMR33522303,,"Wednesday, March 2, 2022"
FMR34522303,789522.0,NULL
FMR34303303,789303.0,"wednesday, march 2, 2022"
FMR33520303,789520.0,"Wednesday, March 2, 2022"
FMR33903303,789903.0 units,"Wednesday, March 2, 2022"
ID_  FMR33621303  ,789621.0,"Wednesday, March 2, 2022"
  FMR36101401  #@$,789101.0,03/03/2022
FMR36203203,789203.0,"Thursday, March 3, 2022"
ID_N/A,789521.0,"Thursday, March 3, 2022"
  NULL  ,789403.0,03/03/2022
ID_FMR34301401,ID_789301.0,03/03/2022
FMR36202203,789202.0,"Thursday, March 3, 2022"
ID_FMR35303203#@$,789303.0,"Thursday, March 3, 2022"
FMR36121203,789121.0,"Thursday, March 3, 2022"
FMR35201601,789201.0 units,"Thursday, March 3, 2022"
FMR34601603,789601.0,"Thursday, March 3, 2022"
FMR34122503#@$,789122.0,
,789902.0,"Thursday, March 3, 2022"
FMR35903203,-1.0,"Thursday, March 3, 2022"
FMR34702402,789702.0,"Thursday, March 3, 2022"
FMR35702503,789702.0,03/03/2022
FMR35520602,789520.0,"  THURSDAY, MARCH 3, 2022  "
FMR34321403,789321.0,"  Thursday, March 3, 2022  "
FMR35321302,789321.0 units,"Thursday, March 3, 2022"
FMR34421503#@$,789421.0,"  Thursday, March 3, 2022  "
fmr35420302,-1.0 units,"Thursday, March 3, 2022"
FMR35403302,789403.0,"Thursday, March 3, 2022"
#@$,789201.0,"Thursday, March 3, 2022"
  FMR36122503  ,789122.0,03/03/2022
FMR35902302,789902.0 units,"Thursday, March 3, 2022#@$"
FMR36521302,789521.0,"Thursday, March 3, 2022"
FMR34103302,789103.0,"Thursday, March 3, 2022"
ID_FMR34303603,,"Thursday, March 3, 2022"
FMR34720603,789720.0,"Thursday, March 3, 2022"
FMR34401302,789401.0,"Thursday, March 3, 2022"
FMR35121302,789121.0,"Thursday, March 3, 2022#@$"
  FMR35420303  ,ID_789420.0,"Thursday, March 3, 2022"
FMR36122601,789122.0,"Thursday, March 3, 2022"
FMR35720603#@$,,"Thursday, March 3, 2022"
FMR36103301,ID_789103.0,"Thursday, March 3, 2022"
FMR36521602,789521.0,"Thursday, March 3, 2022"
NULL,789202.0,
FMR34903401,789903.0,"Thursday, March 3, 2022"
FMR36903501,789903.0,"Thursday, March 3, 2022"
ID_FMR36520301,,
FMR36301301,789301.0 units,N/A
FMR34622301#@$,ID_789622.0,"Thursday, March 3, 2022"
FMR35622301,789622.0,"thursday, march 3, 2022"
FMR36603501,789603.0,"Thursday, March 3, 2022"
NULL,789403.0,"  Thursday, March 3, 2022  "
FMR35601102#@$,789601.0,03/03/2022
FMR35520102,Id_789520.0,"Thursday, March 3, 2022"
FMR35503501,789503.0,"Thursday, March 3, 2022"
FMR34103602,789103.0,"  Thursday, March 3, 2022  "
FMR35103502,789103.0,03/03/2022
FMR35320303,789320.0,
,789703.0,N/A
FMR34102503,ID_789102.0,"Thursday, March 3, 2022"
FMR35122102,789122.0,"Thursday, March 3, 2022"
FMR35621403,,"Thursday, March 3, 2022"
FMR36621202,789621.0,"  Thursday, March 3, 2022  "
FMR35203502,789203.0,"  Thursday, March 3, 2022  #@$"
FMR34122502,,"Thursday, March 3, 2022#@$"
FMR34622502,789622.0,"Thursday, March 3, 2022"
id_fmr36420602,789420.0,"Thursday, March 3, 2022"
FMR34320502,789320.0 units,"Thursday, March 3, 2022"
FMR34220502,789220.0,"Thursday, March 3, 2022"
FMR34903502#@$,789903.0,03/03/2022
FMR36520502,789520.0,"Thursday, March 3, 2022"
FMR34422602,789422.0,"Thursday, March 3, 2022"
FMR34101603,ID_789101.0,N/A
FMR36702502,789702.0,03/03/2022
FMR36303602,789303.0,03/03/2022
FMR35321502,789321.0,"Thursday, March 3, 2022"
FMR36501502,789501.0,"Thursday, March 3, 2022"
FMR34521502,789521.0,"Thursday, March 3, 2022"
NULL,,"Thursday, March 3, 2022"
FMR35421502,,"  Thursday, March 3, 2022  #@$"
FMR35522601,789522.0,"  Thursday, March 3, 2022  "
FMR36421403,789421.0,"Thursday, March 3, 2022"
  FMR35402602  ,ID_nan,NULL
FMR36902601,789902.0,03/03/2022
FMR35221403,789221.0 units,"thursday, march 3, 2022"
FMR34703403,789703.0,"Thursday, March 3, 2022"
ID_FMR36703601,789703.0,03/03/2022
,-1.0,"Thursday, March 3, 2022"
FMR35522403,789522.0,"Thursday, March 3, 2022"
FMR35401403,-1.0,"  Thursday, March 3, 2022  "
N/A,,"Thursday, March 3, 2022"
  NULL  ,789720.0,"Thursday, March 3, 2022#@$"
#@$,789121.0,"Thursday, March 3, 2022"
FMR34221503,ID_789221.0,"Thursday, March 3, 2022#@$"
FMR36221602,789221.0,"Thursday, March 3, 2022"
FMR36420503,789420.0 units,"Thursday, March 3, 2022"
FMR36603503,789603.0,"Thursday, March 3, 2022"
fmr36320503,,"Thursday, March 3, 2022"
FMR36601503#@$,789601.0,03/03/2022
Fmr35421103,789421.0,NULL#@$
FMR34520103,ID_789520.0,"Thursday, March 3, 2022#@$"
FMR36501103,789501.0 units,"Thursday, March 3, 2022"
  FMR36522103  ,789522.0,"Thursday, March 3, 2022#@$"
FMR34503103#@$,789503.0,  NULL  
FMR35220303,ID_789220.0,03/03/2022
FMR35101401,ID_789101.0,"Thursday, March 3, 2022"
FMR35301103,ID_789301.0,"Thursday, March 3, 2022"
ID_FMR35202601,789202.0,03/03/2022
FMR36721103#@$,789721.0,"Thursday, March 3, 2022#@$"
ID_FMR34202601,789202.0,"Thursday, March 3, 2022"
FMR35702601,789702.0,"Thursday, March 3, 2022#@$"
FMR35521601#@$,789521.0,"Thursday, March 3, 2022"
FMR34422601,789422.0,"Thursday, March 3, 2022"
FMR34503601,789503.0,03/03/2022
  fmr36421601  ,789421.0,"Thursday, March 3, 2022"
  FMR34501601  ,ID_789501.0,"Thursday, March 3, 2022"
FMR35220402,789220.0,NULL
FMR34402501,789402.0,"Thursday, March 3, 2022#@$"
  FMR36320402  ,789320.0,"  Thursday, March 3, 2022  "
FMR36720402,789720.0,03/03/2022
FMR36503402,789503.0,"THURSDAY, MARCH 3, 2022"
ID_FMR34521402,789521.0,"Thursday, March 3, 2022"
FMR35521602,789521.0,"thursday, march 3, 2022"
FMR36122602,789122.0,"  Thursday, March 3, 2022  "
FMR36121402,789121.0,"Thursday, March 3, 2022"
  FMR36221402  ,789221.0,"  Thursday, March 3, 2022  "
Fmr35603603,789603.0,"Thursday, March 3, 2022"
FMR36301201,789301.0,03/03/2022
N/A,789420.0,"Thursday, March 3, 2022#@$"
FMR35320602,ID_789320.0,"Thursday, March 3, 2022"
FMR35202201,789202.0,
FMR34321201,ID_789321.0,"Thursday, March 3, 2022"
FMR36103201,789103.0,"Thursday, March 3, 2022"
FMR36501201,789501.0,"Thursday, March 3, 2022"
Fmr36522603,789522.0,"Thursday, March 3, 2022"
FMR34203501,789203.0,"THURSDAY, MARCH 3, 2022#@$"
NULL,789401.0,"Thursday, March 3, 2022"
ID_FMR35403501,789403.0,"Thursday, March 3, 2022"
FMR34621603,789621.0,"Thursday, March 3, 2022"
NULL,789521.0 units,"Thursday, March 3, 2022"
FMR35503602,789503.0,"Thursday, March 3, 2022#@$"
Fmr35601602,789601.0 units,03/03/2022
FMR36520602,789520.0,"Thursday, March 3, 2022#@$"
ID_FMR36121602,789121.0,"  Thursday, March 3, 2022  "
FMR36603602#@$,789603.0,"Thursday, March 3, 2022"
,ID_-1.0,"Thursday, March 3, 2022"
Fmr35501101,789501.0,"Thursday, March 3, 2022"
FMR34121101,789121.0,"THURSDAY, MARCH 3, 2022"
FMR34721101,,"  Thursday, March 3, 2022  "
null,789721.0,"Thursday, March 3, 2022"
FMR34903101,789903.0,"THURSDAY, MARCH 3, 2022"
FMR35420101,789420.0,"Thursday, March 3, 2022"
fmr36422101,789422.0,"THURSDAY, MARCH 3, 2022"
FMR36402101,789402.0,"Thursday, March 3, 2022"
ID_FMR34102401,ID_789102.0,"thursday, march 3, 2022"
FMR36102401,789102.0,"Thursday, March 3, 2022"
FMR35903401,789903.0,"Thursday, March 3, 2022"
FMR36522401,ID_789522.0,"Thursday, March 3, 2022"
FMR35303401,-1.0,"Thursday, March 3, 2022"
